col,min(count)
gutenberg-tm,56
1,45
algernon,38
jack,33
works,32
electronic,27
foundation,22
agreement,18
donations,15
copyright,14
gwendolen,14
muffins,14
archive,13
trademark,11
paragraph,11
access,10
refund,10
3,9
agree,9
hand-bag,8
ernest,8
fee,8
domain,8
including,8
distributing,7
copies,7
http,7
permission,7
provide,7
-,7
ebooks,7
distribute,6
volunteers,6
comply,6
worthing,6
paid,6
markby,6
tax,6
web,6
distribution,6
heartless,5
shropshire,5
lives,5
cardew's,5
aunt,5
free,5
tea-cake,5
daylight,5
medium,5
replacement,5
limited,5
cake,5
smell,5
compliance,5
owner,5
australia,4
requirements,4
donate,4
rise,4
format,4
8,4
collection,4
lesson,4
damages,4
diary,4
sugar,4
distributed,4
located,4
contact,4
married,4
editions,4
site,4
freely,4
support,4
bread,4
status,4
dog-cart,4
additional,4
copying,4
profile,4
providing,4
displaying,4
provided,4
fees,4
land,4
holder,4
butter,4
changes,4
augusta,4
creating,4
ebook,4
posted,4
individual,4
headache,4
foundation's,3
7,3
disclaimer,3
prism,3
wells,3
embraces,3
liability,3
efforts,3
algy,3
sensible,3
sweetly,3
charity,3
yellow,3
it's,3
cardew,3
links,3
royalty,3
defective,3
dentist,3
thirty-five,3
sad,3
light,3
tunbridge,3
hopelessly,3
applicable,3
happily,3
staying,3
invented,3
project,3
general,3
entity,3
perambulator,3
derivative,3
user,3
painful,3
official,3
complying,3
neighbours,3
buttonhole,3
payments,3
severe,3
performing,3
champagne,3
receive,3
severely,3
box,3
flirt,3
fools,3
bunbury,3
limitation,3
vital,3
warranties,3
possibilities,3
indignant,3
spade,3
approaches,3
9,3
peculiarly,3
ago,3
heavy,3
equipment,3
key,3
walls,3
sir,3
george,3
arbors,3
defect,3
cucumbers,3
contained,3
paragraphs,3
condition,3
2,3
gutenberg,3
decision,3
cough,3
pulled,3
oscar,2
outfit,2
stations,2
highest,2
opposition,2
papa,2
circumstances,2
sermon,2
army,2
vibrations,2
plantain,2
copied,2
uncle,2
sandwiches,2
schools,2
snare,2
odor,2
implied,2
lieu,2
handles,2
playroom,2
settled,2
vanilla,2
gorgon,2
office,2
hungry,2
pounds,2
childish,2
devotedly,2
chin,2
perfectly,2
sandwich,2
flirts,2
royalties,2
will,2
jack's,2
metaphor,2
cynical,2
gravely,2
albany,2
altered,2
based,2
success,2
motives,2
emigrating,2
fortunately,2
forte,2
smiles,2
pleasure,2
forgive,2
computers,2
economy,2
beds,2
baptism,2
proposing,2
innocent,2
guardian's,2
lost,2
girls,2
obtaining,2
bloxham,2
registered,2
programme,2
stress,2
kiss,2
distinct,2
resort,2
afternoon,2
receipt,2
warranty,2
egeria,2
money,2
philanthropic,2
ticket,2
lists,2
arrangements,2
harbury,2
paths,2
old-fashioned,2
mood,2
contributions,2
physical,2
5,2
stroll,2
prism's,2
task,2
gentleman,2
hon,2
guardian,2
plays,2
angry,2
over-dressed,2
future,2
first-class,2
christenings,2
shirt-cuff,2
pupil,2
pretend,2
engagements,2
thirty-,2
dined,2
created,2
points,2
inside,2
suspected,2
breach,2
federal,2
parent,2
to-morrow,2
decline,2
path,2
entrapped,2
water,2
fondest,2
rises,2
prepared,2
distressing,2
sprinkling,2
half-moon,2
easier,2
6,2
active,2
reconciliation,2
