col,count
jack,323
cecily,322
algernon,303
gwendolen,240
project,173
lady,143
bracknell,126
gutenberg-tm,112
will,107
ernest,101
work,101
1,91
well,86
prism,85
dear,83
gutenberg,73
worthing,67
brother,65
chasuble,65
works,64
good,61
john,58
electronic,54
time,52
lane,49
people,48
course,47
terms,46
thing,45
foundation,44
bunbury,43
life,41
enter,40
merriman,40
fact,37
perfectly,36
aunt,36
room,36
agreement,36
man,35
married,35
things,34
house,34
cardew,32
fairfax,32
license,32
kind,31
full,31
young,31
donations,30
sir,30
country,29
suppose,29
engaged,28
copyright,28
long,28
muffins,28
uncle,27
serious,27
great,27
literary,27
copy,26
archive,26
town,26
talk,26
christened,26
org,26
love,25
moment,25
better,25
dr,25
place,25
case,24
algy,23
girl,23
speak,23
public,23
call,23
augusta,23
hand,22
united,22
paper,22
round,22
trademark,22
feel,22
paragraph,22
pattern,21
it's,21
poor,21
i'm,21
hope,20
set,20
access,20
afraid,20
years,20
bad,20
darling,20
refund,20
mind,20
3,19
told,19
garden,19
going,19
matter,19
ebook,19
guardian,18
diary,18
tea,18
agree,18
eat,17
afternoon,17
read,17
takes,17
woman,17
laws,17
associated,17
week,17
three,17
including,17
business,17
absurd,16
pleasure,16
hand-bag,16
fee,16
domain,16
night,16
london,16
age,16
rising,16
day,15
men,15
boy,15
cousin,15
http,15
extremely,14
yellow,14
table,14
distributing,14
hear,14
person,14
days,14
met,14
head,14
copies,14
glad,14
earth,14
permission,14
provide,14
charge,14
manner,14
-,14
fellow,14
find,14
till,14
ebooks,14
child,14
question,14
idea,14
butter,14
eating,14
called,14
form,13
5,13
left,13
notice,13
pray,13
beg,13
live,13
morning,13
heavens,13
hour,13
pglaf,13
4,13
nonsense,13
received,12
character,12
subject,12
fond,12
plain,12
allow,12
distribute,12
volunteers,12
comply,12
mamma,12
jennie,12
free,12
bread,12
truth,12
one's,12
women,12
care,12
puts,12
writing,12
couldn't,12
paid,12
moncrieff,12
tax,12
help,12
web,12
cigarette,12
